BR 11 2012 000043 8|2506|15/01/2019|1.2||Em atendimento a decisão recursal publicada na RPI 2479 de 10/07/2018, foi mantida a negação da solicitação de devolução de prazo publicada primariamente na RPI 2405 de 07/02/2017, sendo deste modo retirado o referente pedido em relação a entrada na Fase nacional brasileira por intempestividade de apresentação de pedido de entrada na fase nacional.
BR 11 2012 000043 8|2479|10/07/2018|115||Recorrente: O depositante.  Despacho: Recurso conhecido e negado o provimento. Mantida a decisão recorrida. [115]
BR 11 2012 000043 8|2413|04/04/2017|12.6||
BR 11 2012 000043 8|2405|07/02/2017|1.4.1||O presente pedido foi depositado através do PCT/BR2010/000205 de 29/06/2010, dando entrada na fase nacional em 02/01/2012, apesar do prazo expirar em 29/12/2011 (30 meses contados da data de prioridade). Juntamente com a petição de entrada, o depositante solicitou concessão de devolução de prazo com base na regra 49.6 do PCT, justificando que por motivo totalmente imprevisto, alheio à vontade da parte, não foi possível realizar o depósito dentro do prazo. A alegação baseia-se no fato de ter havido erro do procurador no lançamento dos dados referentes a este pedido, uma vez que já existia no sistema deste um outro pedido deste mesmo depositante (PCT/BR2010/000201 de 26/06/2010) com um número de PCT e data de depósito similares aos do pedido em questão levando a um erro de leitura não intencional, e que o mesmo foi notado no dia seguinte ao prazo de depósito, 30 de dezembro de 2011, tendo sido imediatamente preparado para ser protocolado no primeiro dia útil posterior. Alega também possuir “um número de sistemas eletrônicos que operam com o propósito de garantir o cumprimento de prazos. O parecer PARECER/INPI/PROC/DICONS/Nº43/2003 diz, explicitamente, que não se deve considerar como justa causa falhas no sistema operacional de controle de prazos decorrentes de erro humano. Tal posicionamento é reforçado na NOTA/INPI/PROC/DICONS/N°530/2004, que, inclusive considera erros referentes ao registro de prazos nos sistemas como falha previsível e evitável. Desta forma, com base nos pareceres citados, a alegação apresentada não configura fato imprevisível, incontornável ou inevitável, conforme determinado no art 221 §1º da LPI e art 2° da RES n°254/2010 do INPI para a concessão do pedido de devolução de prazo. Diante do exposto, considera-se que o pedido de devolução de prazo não poderá ser atendido, por estar em desacordo com a legislação vigente.
BR 11 2012 000043 8|2342|24/11/2015|1.4.4||Anulada a decisão da concessão de devolução de prazo para o restabelecimento de direito para entrada na fase nacional por ter sido indevida.
BR 11 2012 000043 8|2314|12/05/2015|1.4||
BR 11 2012 000043 8|2145|14/02/2012|1.1||
PRIORIDADE|BR 11 2012 000043 8|FRANÇA|0954417|29/06/2009
PATENTE|BR 11 2012 000043 8|||COMPOSIÇÃO COSMÉTICA, KIT DE TRATAMENTO DA PELE E MÉTODO DE TRATAMENTO DE PELE OLEOSA OU MISTA OU PELE COM ACNE|DANNEMANN, SIEMSEN, BIGLER & IPANEMA MOREIRA||||29/06/2010|2011/000069|Data: 06/01/2011|02/01/2012|BR2010000205|Data:29/06/2010|(22)||Natura Cosmético S.a (BR/SP)|||A61K 8/27 ;, A61K 8/46 ;, A61K 8/49 ;, A61K 8/73 ;, A61Q 17/04 ;, A61Q 19/00 ;, A61Q 19/08|14/02/2012
BR 10 2013 007857 3|2531|09/07/2019|16.1||20 (vinte) anos contados a partir de 01/04/2013, observadas as condições legais
BR 10 2013 007857 3|2518|09/04/2019|9.1||
BR 10 2013 007857 3|2492|09/10/2018|6.1||
BR 10 2013 007857 3|2464|27/03/2018|6.6.1||
BR 10 2013 007857 3|2289|18/11/2014|3.1||
BR 10 2013 007857 3|2208|30/04/2013|2.1||
BR 10 2013 007857 3|2206|16/04/2013|2.10||Número de Protocolo 860130000020 em 01/04/2013 05:15(WB).
PATENTE|BR 10 2013 007857 3||FRANCISCO JOSÉ DE QUEIROZ ORLANDA (BR/SP)|MÓDULO BIARTICULADO PARA EQUIPAMENTO AGRÍCOLA|VILAGE MARCAS E PATENTES LTDA||||01/04/2013|||||||MÓDULO BIARTICULADO PARA EQUIPAMENTO AGRÍCOLA, particularmente de um dispositivo que não permite que variação da distância entre o ponto de articulação e o solo interfira na pressão que a roda cônica e o pneu do módulo de plantio exercem sobre o solo.O balancim é construído de duas vigas paralelas, unidas por uma torre, e dotadas de pontos de fixação concêntricos nas extremidades anterior e posterior.Para controlar e limitar a articulação no momento do transporte, os módulos são ligados à torre por cabos de aço fixados através de esperas articuladas. Destaca-se que os cabos possuem comprimentos distintos e a articulação entre o balancim e o módulo de plantio dá-se exatamente no mesmo eixo de fixação do pneu do módulo de plantio, impedindo que haja componente de força entre a viga do balancim e o eixo. De modo que, o movimento do balancim não interfira na angulação do módulo de plantio.||FRANCISCO JOSÉ DE QUEIROZ ORLANDA||A01C 5/08|18/11/2014
BR 13 2013 017839 9|2463|20/03/2018|6.9||Anulada a publicação código 6.6.1 na RPI nº 2462 de 13/03/2018 por ter sido indevida.
BR 13 2013 017839 9|2462|13/03/2018|6.6.1||
BR 13 2013 017839 9|2461|06/03/2018|6.6.1||
BR 13 2013 017839 9|2345|15/12/2015|3.1||
BR 13 2013 017839 9|2325|28/07/2015|2.1||
BR 13 2013 017839 9|2302|18/02/2015|2.5||
BR 13 2013 017839 9|2283|07/10/2014|2.10||Número de Protocolo 20130061499 em 11/07/2013 04:25(RJ).
PRIORIDADE|BR 13 2013 017839 9|BRASIL|102013006389-4|18/03/2013
PATENTE|BR 13 2013 017839 9|||PROCESSO E EQUIPAMENTO PARA CONVERSÃO SIMULTANEA DE BIOMASSA UTILIZANDO REATORES UHTST|VAZ E DIAS ARRUDA DA VEIGA ADVOGADOS ASSOCIADOS|BR 10 2013 006389 4  (Data:18/03/2013);|||11/07/2013||||||(22)|PROCESSO E EQUIPAMENTO PARA CONVERSÃO SIMULTANEA DE BIOMASSA UTILIZANDO REATORES UHTST. A presente invenção se refere a processo e equipamento para conversão simultânea de biomassa vegetal utilizando reatores continuos UHTST usando água líquida superaquecida para o processo de pré-tratamento e hidrólise do bagaço. O processo de pré-tratamento proposto é conduzido em 2 fases que operam sequencialmente em condições diferenciadas de tempo de residéncia, temperatura e pressão otimizados para máxima preservação dos açúcares monômeros ou oligômeros de cada uma das frações hemicelulose e celulose da biomassa e consequentemente, mínima formação de produtos inibidores. Os sistemas de aquecimento e resfriamento, antes e após o pré- tratamento, foram projetados para serem conduzidos também de forma rápida, com duração de menos de um minuto e meio ou ainda, frações de segundos.|CNPEM-CENTRO NACIONAL DE PESQUISA EM ENERGIA E MATERIAIS (BR/SP)|JONAS NOLASCO JUNIOR / SINDELIA FREITAS AZZONI / CARLOS EDUARDO VAZ ROSSELL||C12P 7/10|15/12/2015
BR 20 2012 033571 4|2527|11/06/2019|16.1||15 (quinze) anos contados a partir de 28/12/2012, observadas as condições legais
BR 20 2012 033571 4|2519|16/04/2019|9.1||
BR 20 2012 033571 4|2499|27/11/2018|6.1||
BR 20 2012 033571 4|2483|07/08/2018|6.1||
BR 20 2012 033571 4|2242|24/12/2013|3.8||
BR 20 2012 033571 4|2235|05/11/2013|3.1||
BR 20 2012 033571 4|2221|30/07/2013|2.1||
BR 20 2012 033571 4|2203|26/03/2013|2.10||Número de Protocolo 14120003064 em 28/12/2012 04:01(MG).
PRIORIDADE|BR 20 2012 033571 4|BRASIL|MU9102997-0|29/12/2011
PATENTE|BR 20 2012 033571 4||Universidade Federal de Minas Gerais (BR/MG)|DISPOSITIVO FLEXÍVEL EMISSOR DE LUZ PARA TRATAMENTO DE FERIDAS CUTÂNEAS|||||28/12/2012|||||||DISPOSITIVO FLEXÍVEL EMISSOR DE LUZ PARA TRATAMENTO DE FERIDAS CUTÂNEAS O presente pedido de patente de modelo de utilidade compreende um dispositivo (Figuras 1 e 2) flexível emissor de luz, cosntituído por um conjunto de pares de fontes luminosas do tipo LED (Diodo Emissor de Luz) e/ou OLED (Diodo Orgânico Emissor de Luz), dispostos em círculos concêntricos. O dispositivo é capaz de emitir simultaneamente dois comprimentos de onda, sendo um na faixa do vermelho (nas bordas da ferida) e outro na faixa do infravermelho (no leito da ferida), com acionamento independente de cada círculo e de cada LED e/ou OLED. As fontes luminosas podem ser ativadas de acordo com o tamanho e o formato da ferida e estão contidas em uma unidade emissora de luz impressa em material maleável do tipo têxtil, como algodão, nylon e poliéster, na forma de lençóis, blusas, shorts, calças, sutiãs ou meias; ou do tipo não têxtil como plástico, silicone e borracha, na forma de curativos ou bandagens. Dessa forma, o dispositivo é anatomicamente ajustável à área a ser tratada, inclusive às superfícies irregulares. Além disso, o dispositivo é portátil e apresenta fácil aplicação e manuseio.||Marcos Pinotti Barbosa  / Maria Emília de Abreu Chaves / Daniel Neves Rocha||A61N 5/06|05/11/2013
BR 20 2013 002133 0|2522|07/05/2019|16.1||15 (quinze) anos contados a partir de 29/01/2013, observadas as condições legais
BR 20 2013 002133 0|2513|06/03/2019|9.1||
BR 20 2013 002133 0|2500|04/12/2018|6.6.1||
BR 20 2013 002133 0|2424|20/06/2017|8.7||
BR 20 2013 002133 0|2401|10/01/2017|8.5||complementar a retribuição da(s) 3ª e 4ª anuidade(s), de acordo com tabela vigente, referente à(s) guia(s) de recolhimento 221504813680 e 221605241096.
BR 20 2013 002133 0|2400|03/01/2017|8.8||Referente ao despacho 8.6 publicado na RPI 2398 de 20/12/2016.
BR 20 2013 002133 0|2398|20/12/2016|8.6||Referente às 3ª e 4ª anuidades.
BR 20 2013 002133 0|2360|29/03/2016|3.1||
BR 20 2013 002133 0|2220|23/07/2013|2.1||
BR 20 2013 002133 0|2200|05/03/2013|2.10||Número de Protocolo 18130002659 em 29/01/2013 02:25(SP).
PRIORIDADE|BR 20 2013 002133 0|BRASIL|BR 20 2012 012415-2|24/05/2012
